no_months,age,gender,income,no_months_ctr,no_months_ctr_end,phones,age_head_hh,edu_head_hh,income_head_hh,house_type,work_situation,no_calls,no_minutes,no_msgs,no_calls6,no_minutes6,no_msgs6,servcon,acq_costs,switch
54,40,M,14.31,42,-18.000,4,3,3,4,3,1,1,3.58,0,78,258.50,19,0,400.00,1
98,67,M,24.17,12,12.000,8,6,3,5,5,3,1,0.22,0,49,82.22,13,0,400.00,1
52,46,M,7.91,40,-16.000,1,3,2,4,1,1,0,0.00,0,21,39.85,1,0,400.00,1
51,58,V,42.68,27,-15.000,4,5,3,5,5,1,0,0.00,0,87,244.00,6,0,400.00,1
49,,,14.63,37,-13.000,2,2,3,4,4,1,0,0.00,0,4,10.93,12,0,400.00,1
63,,,71.88,36,-12.000,6,3,3,5,2,1,3,38.67,5,360,535.83,133,0,400.00,1
47,22,M,15.54,35,-11.000,6,4,2,2,4,1,0,0.00,0,120,218.45,3,0,400.00,1
46,33,V,1.20,34,-10.000,1,2,2,3,4,1,0,0.00,0,5,2.70,68,0,400.00,1
45,36,M,23.23,33,-9.000,3,3,2,4,4,1,0,0.00,0,130,91.98,1,0,400.00,1
45,52,M,0.90,33,-9.000,1,4,3,5,2,1,0,0.00,0,4,12.38,5,0,400.00,1
45,33,M,0.89,33,-9.000,2,3,3,3,3,1,0,0.00,0,47,51.88,1,0,400.00,1
44,30,V,18.78,32,-8.000,2,3,3,4,3,1,0,0.00,0,37,103.20,34,0,400.00,1
44,26,V,-6.82,23,-9.000,5,4,1,5,1,1,0,0.00,0,149,401.73,29,0,400.00,1
43,26,M,21.61,32,-8.000,1,1,1,4,3,4,0,0.00,0,185,152.93,34,0,400.00,1
42,29,M,78.07,30,-6.000,4,3,3,5,1,1,0,0.00,0,40,41.55,76,0,400.00,1
42,,,44.56,30,-6.000,4,5,1,3,2,1,0,0.00,0,47,364.22,31,0,400.00,1
42,,,270.57,30,-6.000,4,5,1,2,1,2,0,0.00,0,327,690.18,27,0,400.00,1
40,27,V,74.11,28,-4.000,2,2,3,5,3,1,1,1.73,2,64,45.55,7,0,400.00,1
39,21,M,85.03,27,-15.000,2,4,1,5,2,1,0,0.00,0,90,122.32,102,0,400.00,1
64,,,1.49,25,-13.000,5,6,3,5,1,3,0,0.00,0,75,169.27,6,0,400.00,1
38,23,V,128.43,26,-2.000,2,1,1,2,2,1,0,0.00,0,44,51.27,42,0,400.00,1
