no_months,age,gender,income,no_months_ctr,no_months_ctr_end,phones,age_head_hh,edu_head_hh,income_head_hh,house_type,work_situation,no_calls,no_minutes,no_msgs,no_calls6,no_minutes6,no_msgs6,servcon,acq_costs,switch
30,21,M,288.00,18,5.000,3,1,2,1,5,4,0,0.00,0,160,111.80,19,0,350.00,1
30,40,V,83.76,18,-6.000,3,0,0,0,0,0,0,0.00,0,220,357.03,41,0,350.00,1
30,43,V,322.61,18,5.000,6,3,2,3,1,1,0,0.00,0,57,69.52,129,0,350.00,1
29,43,V,416.24,17,6.000,1,3,2,4,4,1,0,0.00,0,71,96.45,29,0,350.00,1
29,42,M,312.40,17,6.000,1,3,2,2,4,1,0,0.00,0,10,15.57,15,0,350.00,1
46,49,V,292.28,16,7.000,9,4,2,3,4,1,0,0.00,0,91,40.80,98,0,350.00,1
29,20,M,314.20,17,6.000,3,4,1,2,3,1,0,0.00,0,59,10.82,45,0,350.00,1
28,24,M,257.20,16,7.000,3,4,1,2,2,1,0,0.00,0,434,796.95,394,0,350.00,1
28,21,M,601.07,16,7.000,1,3,2,3,2,1,0,0.00,0,237,224.43,62,0,350.00,1
28,20,M,793.20,16,7.000,3,3,2,1,5,1,0,0.00,0,300,319.70,23,0,350.00,1
24,44,M,459.30,12,11.000,2,6,2,1,4,3,0,0.00,0,148,110.22,34,0,350.00,1
28,29,V,269.78,16,7.000,2,6,1,1,2,3,0,0.00,0,101,205.83,74,0,350.00,1
27,29,M,47.46,15,-3.000,2,2,3,5,1,1,0,0.00,0,0,0.35,1,0,350.00,1
27,48,V,75.86,15,-3.000,1,4,2,1,5,2,0,0.00,0,139,346.52,8,0,350.00,1
27,22,V,378.19,15,8.000,2,,,,,,0,0.00,0,126,191.03,24,0,350.00,1
27,38,M,-1.78,15,8.000,1,3,2,1,5,1,0,0.00,0,12,18.05,4,0,350.00,1
27,23,M,464.76,15,8.000,1,6,2,1,4,5,0,0.00,0,592,535.88,115,0,350.00,1
27,58,V,303.79,15,8.000,3,5,2,1,4,2,0,0.00,0,141,161.43,1,0,350.00,1
27,79,V,465.57,15,8.000,2,4,3,5,5,1,0,0.00,0,230,249.98,149,0,350.00,1
27,28,V,472.89,15,8.000,1,3,2,2,4,1,0,0.00,0,55,55.48,37,0,350.00,1
27,22,M,641.20,15,8.000,1,3,2,2,4,1,0,0.00,0,90,263.62,154,0,350.00,1
27,45,M,1395.50,15,8.000,1,6,1,3,1,3,0,0.00,0,119,484.25,114,0,350.00,1
27,44,V,312.34,15,8.000,2,6,1,1,1,3,0,0.00,0,183,242.75,136,0,350.00,1
27,33,M,355.77,15,9.000,1,2,2,4,4,1,0,0.00,0,196,689.37,412,0,350.00,1
26,20,M,312.59,14,9.000,1,4,2,2,4,1,0,0.00,0,257,190.37,146,0,350.00,1
26,21,M,404.09,14,9.000,2,4,2,2,4,1,0,0.00,0,346,477.87,66,0,350.00,1
26,44,V,489.46,14,9.000,1,4,3,2,4,1,0,0.00,0,386,451.60,71,0,350.00,1
26,66,M,0.32,14,9.000,1,5,2,2,5,1,0,0.00,0,16,12.22,1,0,350.00,1
26,48,M,329.44,14,10.000,2,2,3,1,5,4,0,0.00,0,70,37.08,43,0,350.00,1
25,27,M,483.14,13,10.000,2,2,2,1,5,2,0,0.00,0,179,180.72,19,0,350.00,1
25,23,M,194.24,13,-1.000,1,1,2,2,5,4,0,0.00,0,126,135.87,12,0,350.00,1
25,39,M,501.30,13,10.000,1,3,2,1,3,2,0,0.00,0,223,137.10,9,0,350.00,1
25,28,M,483.87,13,10.000,1,2,2,2,4,1,0,0.00,0,332,422.25,97,0,350.00,1
25,62,M,-7.51,13,10.000,1,5,1,3,2,1,0,0.00,0,35,43.25,3,0,350.00,1
25,41,V,345.42,13,10.000,2,,,,,,0,0.00,0,366,185.63,26,0,350.00,1
25,27,M,690.63,13,10.000,3,3,2,1,4,1,0,0.00,0,328,332.42,51,0,350.00,1
24,37,V,374.90,12,11.000,1,3,2,1,5,2,0,0.00,0,9,2.82,2,0,350.00,1
24,28,M,522.02,12,11.000,1,2,2,3,3,1,0,0.00,0,46,37.98,16,0,350.00,1
24,52,M,444.89,12,11.000,2,3,2,1,5,1,0,0.00,0,81,117.97,37,0,350.00,1
24,24,V,439.89,12,11.000,3,2,2,1,4,2,0,0.00,0,97,157.20,1,0,350.00,1
24,22,V,747.35,12,11.000,2,1,3,2,5,4,0,0.00,0,138,248.90,217,0,350.00,1
42,20,M,469.56,11,19.000,4,5,3,5,1,1,0,0.00,0,96,77.80,33,0,350.00,1
23,23,M,738.83,11,12.000,2,2,1,2,3,1,0,0.00,0,91,77.62,5,0,350.00,1
23,23,M,438.92,11,12.000,3,2,1,2,3,1,0,0.00,0,261,208.28,6,0,350.00,1
22,23,M,533.22,10,13.000,5,,,,,,0,0.00,0,224,191.37,37,0,350.00,1
22,38,V,10.60,10,13.000,1,,,,,,0,0.00,0,216,337.02,4,0,350.00,1
35,37,,1882.88,9,14.000,1,3,2,2,4,1,0,0.00,0,197,409.95,42,0,350.00,1
159,56,M,55.65,23,11.000,3,5,2,2,5,2,185,259.98,4,236,367.73,3,1,350.00,0
146,47,M,77.27,21,7.000,3,0,0,0,0,0,192,189.42,15,212,232.58,8,1,350.00,0
146,57,M,12.40,10,13.000,4,2,2,1,5,2,69,54.50,2,86,76.77,2,1,350.00,0
144,44,M,22.47,23,11.000,4,5,2,1,4,2,62,54.70,15,72,92.97,18,1,350.00,0
115,,,106.59,8,15.000,2,,,,,,210,527.12,24,225,570.93,31,1,350.00,0
142,62,,34.68,16,7.000,3,4,3,5,1,1,14,4.73,0,107,292.45,5,0,350.00,0
140,38,M,35.42,15,8.000,2,0,0,0,0,0,69,235.23,1,97,322.70,7,0,350.00,0
139,46,M,68.58,23,11.000,2,,,,,,270,374.33,17,307,404.78,21,1,350.00,0
139,45,M,12.00,50,-16.000,4,6,1,2,3,3,17,10.17,3,65,69.72,8,0,350.00,0
137,,,25.21,22,0.000,2,4,3,5,1,1,4,1.43,3,19,47.25,19,1,350.00,0
100,62,M,11.75,41,-6.000,2,6,3,5,4,3,8,13.07,1,13,21.40,1,1,350.00,0
136,,,93.83,27,-3.000,3,6,3,5,2,3,119,142.62,47,96,116.17,37,1,350.00,0
33,,,8.11,21,2.000,1,4,2,4,2,1,26,40.18,4,24,28.00,8,0,350.00,0
100,73,M,4.64,14,9.000,4,6,2,1,5,3,42,49.42,2,45,91.55,1,0,350.00,0
38,,,45.11,26,-2.000,2,5,3,5,4,1,30,68.35,11,55,83.93,109,0,350.00,0
135,61,M,81.28,31,-7.000,4,5,2,2,4,2,52,73.58,7,53,76.10,2,1,350.00,0
51,58,V,32.93,17,8.000,3,5,2,2,4,2,24,138.13,13,49,113.05,9,1,350.00,0
135,48,M,26.91,13,10.000,2,4,3,5,3,1,54,69.02,12,82,112.72,26,1,350.00,0
28,55,M,864.98,15,8.000,3,6,3,5,1,1,136,355.85,76,135,320.10,73,0,350.00,0
84,51,M,198.04,26,2.000,2,3,2,3,4,1,116,224.25,133,199,433.97,89,1,350.00,0
26,47,M,70.10,14,9.000,3,2,3,5,2,1,138,367.67,144,91,239.13,70,1,350.00,0
132,63,M,118.76,8,16.000,4,5,1,2,3,1,194,583.87,42,235,716.27,136,1,350.00,0
131,,,36.72,32,-8.000,3,4,2,1,5,1,29,115.77,68,59,298.27,93,1,350.00,0
131,40,M,81.89,24,7.000,7,,,,,,134,210.92,180,143,241.07,145,1,350.00,0
113,,,44.33,15,8.000,2,3,3,2,4,1,79,93.82,3,76,94.02,5,0,350.00,0
130,41,,95.04,30,-6.000,5,6,2,3,4,5,45,174.93,44,37,119.92,33,1,350.00,0
58,59,,42.84,23,1.000,4,5,1,3,1,1,132,201.20,2,136,162.15,1,0,350.00,0
129,74,M,22.51,11,14.000,3,0,0,0,0,0,2,14.62,5,6,15.98,3,1,350.00,0
129,40,,22.98,8,17.000,5,3,2,4,4,1,82,111.18,11,119,171.73,23,1,350.00,0
129,,,35.69,12,11.000,2,0,0,0,0,0,56,90.53,17,56,127.20,15,1,350.00,0
21,37,M,21.27,9,14.000,2,,,,,,10,7.75,7,5,3.87,3,0,350.00,0
117,82,M,8.36,30,-4.000,4,5,1,3,3,1,1,0.10,0,10,25.67,3,0,350.00,0
35,,,23.63,23,0.000,1,6,3,4,5,3,23,42.53,7,37,45.98,15,0,350.00,0
128,,,70.12,23,6.000,10,3,2,1,5,2,321,390.28,48,365,476.98,43,1,350.00,0
128,43,M,30.56,40,-5.000,2,3,3,5,3,1,30,43.30,4,22,31.13,3,1,350.00,0
128,43,M,57.21,42,-18.000,1,4,2,4,4,1,36,182.82,31,57,267.58,16,0,350.00,0
128,37,M,35.21,19,4.000,2,3,3,4,4,1,90,294.23,2,147,396.13,1,1,350.00,0
127,,,17.62,29,-5.000,3,,,,,,12,33.07,3,12,21.33,6,0,350.00,0
126,57,M,42.21,30,-7.000,3,3,2,1,4,2,61,54.95,6,99,215.65,7,1,350.00,0
126,64,,137.54,28,4.000,7,4,2,4,4,1,127,136.72,251,276,345.48,217,1,350.00,0
125,37,M,42.34,42,-7.000,1,3,3,5,4,1,37,46.67,47,28,40.08,39,1,350.00,0
125,45,M,34.64,21,1.000,4,4,1,5,1,1,32,31.30,103,38,42.18,68,1,350.00,0
125,43,M,115.45,11,12.000,4,2,3,4,3,1,116,591.03,27,124,385.00,218,0,350.00,0
125,,,26.40,9,16.000,4,4,1,5,1,1,131,140.82,13,116,164.10,18,1,350.00,0
125,55,M,10.03,30,-6.000,2,4,1,2,1,1,3,8.53,0,15,34.43,1,1,350.00,0
125,59,M,30.66,18,5.000,2,6,1,5,1,1,24,47.07,109,20,38.37,121,1,350.00,0
125,43,,82.07,24,11.000,5,3,3,5,3,1,55,75.77,449,57,55.62,759,0,350.00,0
88,,,93.11,19,5.000,4,5,1,3,2,5,246,288.28,31,280,320.28,36,1,350.00,0
111,,,20.52,31,-7.000,3,,,,,,6,1.17,18,16,20.80,25,0,350.00,0
59,,,43.63,34,0.000,1,4,3,5,4,1,171,202.78,4,138,135.48,2,1,350.00,0
124,,M,93.41,24,9.000,5,2,3,4,2,1,218,258.77,1,180,234.47,1,1,350.00,0
124,,M,24.79,23,0.000,5,2,2,1,5,2,26,41.90,0,25,18.95,1,1,350.00,0
124,,,45.91,34,-10.000,4,4,3,5,3,1,30,26.45,9,39,44.58,15,0,350.00,0
124,,M,47.21,22,13.000,6,2,1,2,1,1,66,112.42,6,58,87.52,10,0,350.00,0
124,,M,49.66,24,0.000,2,4,2,3,4,1,56,197.77,4,42,109.65,10,1,350.00,0
114,57,M,13.40,29,3.000,4,3,2,4,4,1,26,8.93,0,17,7.30,2,0,350.00,0
124,,V,25.64,18,6.000,3,5,2,3,4,1,26,24.38,18,29,29.92,7,0,350.00,0
124,48,M,14.83,11,12.000,2,0,0,0,0,0,10,7.22,9,24,25.87,36,0,350.00,0
53,,V,37.99,29,5.000,2,0,0,0,0,0,24,20.50,59,25,23.55,76,1,350.00,0
124,,V,30.91,11,14.000,2,,,,,,37,41.47,2,34,54.72,3,0,350.00,0
93,,M,9.15,9,16.000,2,3,3,5,4,1,17,29.32,0,20,32.57,18,0,350.00,0
123,,M,72.99,21,7.000,4,4,3,5,1,1,35,54.83,4,23,30.05,25,0,350.00,0
112,,V,39.14,22,1.000,3,2,2,1,5,4,99,147.98,33,121,203.32,41,1,350.00,0
53,,M,66.23,20,5.000,2,1,1,3,1,4,167,338.18,8,271,414.43,25,0,350.00,0
41,69,M,15.41,11,11.000,2,4,2,1,4,2,15,11.42,2,9,7.33,13,0,350.00,0
123,,V,16.06,29,6.000,2,3,3,5,1,1,31,10.25,17,80,129.17,15,1,350.00,0
111,50,,21.31,26,0.000,2,5,2,3,4,1,38,47.72,5,42,35.25,9,1,350.00,0
122,46,,55.19,8,15.000,3,,,,,,24,46.55,3,38,60.87,3,0,350.00,0
122,,M,168.89,37,-13.000,3,2,2,2,5,1,20,190.62,678,47,235.17,215,0,350.00,0
98,50,,13.92,17,6.000,2,5,1,5,1,1,6,2.25,1,13,11.68,3,0,350.00,0
116,53,,96.99,50,-26.000,1,4,3,3,4,1,266,412.33,16,232,390.07,16,0,350.00,0
100,,,38.07,15,9.000,3,3,3,5,4,1,33,40.58,20,54,58.67,18,0,350.00,0
105,48,,16.62,24,0.000,4,3,2,3,1,1,22,49.05,0,32,45.45,4,1,350.00,0
102,,,18.83,41,-17.000,1,5,3,5,2,1,18,39.37,5,13,19.43,1,0,350.00,0
106,61,,13.50,38,-14.000,2,2,1,1,3,1,14,10.42,12,15,18.65,6,0,350.00,0
56,,,16.94,21,2.000,3,4,2,1,5,1,57,65.65,0,93,117.95,3,0,350.00,0
118,64,,16.28,27,-3.000,3,4,3,5,1,1,19,49.60,3,23,68.00,4,1,350.00,0
116,,,267.02,19,7.000,1,3,3,4,1,1,426,869.90,122,323,500.63,151,1,350.00,0
117,,,140.60,12,13.000,4,5,1,3,1,1,210,181.48,0,213,214.37,3,1,350.00,0
121,,V,24.82,16,10.000,2,4,2,2,4,1,72,72.25,59,94,102.57,56,0,350.00,0
110,47,,38.81,14,9.000,2,,,,,,68,58.42,64,108,126.43,201,1,350.00,0
120,,,34.60,43,-14.000,2,2,3,1,5,2,85,76.75,6,96,75.05,2,0,350.00,0
109,,,14.45,32,-8.000,2,3,3,5,1,1,28,26.58,2,48,76.62,2,0,350.00,0
106,,,38.32,22,1.000,2,5,2,2,4,1,104,122.28,4,89,105.72,4,1,350.00,0
120,41,,158.69,42,-8.000,4,3,3,5,4,1,396,629.15,152,424,535.25,204,0,350.00,0
119,31,M,36.11,17,6.000,5,3,3,5,1,1,143,159.18,45,118,138.70,16,1,350.00,0
119,60,M,30.97,18,5.000,2,2,3,2,5,1,127,111.08,11,115,77.98,9,1,350.00,0
81,44,M,51.46,29,-5.000,2,3,3,2,4,1,103,155.53,135,123,122.68,126,0,350.00,0
118,45,M,49.97,23,0.000,3,3,2,4,2,1,93,136.75,176,92,133.40,141,1,350.00,0
47,,,166.46,27,0.000,3,2,2,3,4,1,331,613.28,29,292,541.93,46,1,350.00,0
117,33,M,91.61,10,13.000,2,,,,,,137,386.32,5,51,95.87,1,0,350.00,0
118,47,V,26.51,19,4.000,4,2,2,1,4,1,28,65.37,0,31,56.78,9,1,350.00,0
118,,,4.76,10,13.000,4,2,2,1,5,2,4,5.18,35,9,17.18,38,0,350.00,0
118,54,M,16.05,13,12.000,2,,,,,,71,180.48,13,64,157.62,10,0,350.00,0
118,,M,9.07,54,-30.000,2,0,0,0,0,0,1,1.03,2,3,5.38,9,0,350.00,0
117,59,,24.18,22,5.000,3,3,3,5,1,1,42,63.40,0,44,71.57,5,1,350.00,0
117,,M,57.63,23,0.000,3,3,3,2,5,1,26,52.48,20,16,49.23,15,0,350.00,0
100,52,V,12.86,30,-6.000,3,4,1,2,3,1,26,46.50,1,41,81.68,1,1,350.00,0
115,43,M,18.81,19,4.000,2,,,,,,19,27.10,1,21,26.52,2,1,350.00,0
116,57,V,7.95,21,2.000,2,4,3,3,5,1,13,9.63,0,24,19.62,1,0,350.00,0
87,27,M,82.98,26,-2.000,2,,,,,,24,20.98,206,18,38.37,233,1,350.00,0
116,76,M,9.82,21,2.000,2,6,1,2,3,5,7,6.35,0,3,1.98,1,0,350.00,0
106,40,M,50.03,38,-14.000,2,,,,,,122,139.72,7,165,208.05,10,0,350.00,0
111,36,M,8.36,43,-31.000,5,2,3,2,5,2,5,0.82,0,57,234.25,49,0,350.00,0
115,28,V,54.91,28,-7.000,7,0,0,0,0,0,65,58.13,69,97,102.52,69,1,350.00,0
115,38,V,57.80,24,3.000,4,,,,,,317,193.20,135,270,204.27,94,0,350.00,0
115,,,234.61,33,-21.000,1,5,2,2,4,2,859,1064.67,35,665,980.43,39,1,350.00,0
115,49,V,10.35,28,-4.000,2,4,2,4,4,1,7,4.63,2,8,8.22,3,0,350.00,0
114,35,V,-13.04,17,6.000,3,4,1,2,2,1,11,21.65,1,11,38.62,7,1,350.00,0
100,46,M,61.27,24,10.000,2,2,3,4,4,1,105,99.92,31,122,124.78,27,0,350.00,0
115,40,V,6.84,28,-4.000,4,,,,,,49,39.73,4,52,38.32,1,1,350.00,0
102,48,,3.93,38,-9.000,3,,,,,,36,20.65,8,39,61.92,6,0,350.00,0
114,55,V,11.80,22,3.000,4,,,,,,44,30.98,27,67,104.48,61,1,350.00,0
113,70,M,8.82,15,8.000,2,,,,,,0,0.00,1,4,5.43,1,0,350.00,0
113,73,M,33.65,15,8.000,2,,,,,,25,65.45,3,12,21.43,1,0,350.00,0
113,41,M,16.86,23,0.000,7,,,,,,44,33.42,1,59,62.22,4,0,350.00,0
113,45,V,14.94,10,13.000,6,5,2,3,4,1,14,44.75,2,17,25.87,4,1,350.00,0
113,50,M,65.29,23,10.000,3,,,,,,138,210.23,60,152,227.62,45,0,350.00,0
22,52,M,54.02,10,13.000,2,,,,,,402,139.03,195,259,113.93,127,0,350.00,0
113,61,M,100.47,33,-9.000,3,4,2,3,4,1,196,377.43,7,175,349.78,3,0,350.00,0
113,62,V,23.07,11,12.000,2,6,1,2,2,3,42,188.50,5,46,122.50,14,0,350.00,0
113,,,58.30,51,-17.000,2,,,,,,100,165.63,0,112,217.40,1,0,350.00,0
112,46,M,53.41,16,7.000,5,,,,,,37,97.43,2,48,143.98,5,0,350.00,0
112,53,V,14.71,44,-20.000,2,,,,,,6,4.60,3,4,4.57,7,0,350.00,0
112,58,V,15.10,40,-16.000,4,,,,,,5,2.62,7,18,15.73,1,0,350.00,0
112,44,M,42.52,22,1.000,2,5,3,5,4,2,98,236.13,4,102,215.17,10,0,350.00,0
66,53,M,25.74,8,15.000,2,,,,,,74,163.38,0,60,123.40,1,0,350.00,0
111,28,M,34.32,24,8.000,6,3,3,2,1,1,178,283.42,33,152,250.73,144,1,350.00,0
111,,,124.15,39,-15.000,4,,,,,,66,52.98,3,88,114.05,3,0,350.00,0
111,47,M,131.07,30,-1.000,4,3,2,3,3,1,109,317.77,226,119,367.80,281,1,350.00,0
110,63,M,20.49,29,-5.000,3,,,,,,8,11.98,2,7,7.88,8,0,350.00,0
73,29,M,38.27,24,0.000,5,5,2,3,4,1,166,232.70,39,142,237.52,24,1,350.00,0
110,45,M,44.52,41,-6.000,4,,,,,,74,89.37,9,57,68.67,11,1,350.00,0
110,61,V,30.61,16,7.000,3,,,,,,55,112.40,17,72,146.52,11,0,350.00,0
109,59,M,15.66,13,13.000,4,2,2,1,5,2,60,82.50,0,79,126.87,4,0,350.00,0
107,55,M,22.72,11,15.000,2,3,2,2,4,1,59,72.48,10,84,136.02,12,0,350.00,0
108,52,M,53.37,46,-22.000,1,,,,,,37,157.75,1,30,104.52,2,0,350.00,0
108,53,M,16.96,25,8.000,4,,,,,,39,35.03,1,43,63.13,1,0,350.00,0
108,59,V,16.22,32,-3.000,2,,,,,,22,24.13,8,16,28.90,10,1,350.00,0
108,43,M,69.99,19,4.000,2,,,,,,147,376.35,2,123,232.10,4,0,350.00,0
99,34,M,71.04,44,-10.000,2,,,,,,62,190.75,34,73,108.43,35,1,350.00,0
108,62,M,60.01,9,14.000,4,,,,,,90,276.23,33,76,207.17,9,0,350.00,0
65,46,M,40.93,53,-29.000,2,,,,,,257,171.22,2,381,323.92,6,0,350.00,0
108,35,V,23.70,15,8.000,2,3,3,3,5,1,45,110.27,9,92,168.30,11,0,350.00,0
108,44,V,14.22,15,9.000,2,5,3,2,4,2,29,55.80,22,43,113.25,28,0,350.00,0
30,32,M,111.69,20,7.000,4,,,,,,206,272.50,5,307,344.20,3,0,350.00,0
96,,,4.24,32,-8.000,4,4,3,5,1,1,21,22.95,3,33,50.92,1,1,350.00,0
106,28,V,159.36,52,-40.000,2,,,,,,382,815.25,27,396,785.42,39,0,350.00,0
93,28,M,138.18,21,7.000,2,,,,,,106,518.70,48,187,579.50,37,1,350.00,0
107,29,V,15.06,24,1.000,3,,,,,,27,68.98,4,25,46.38,10,1,350.00,0
107,38,M,178.06,21,2.000,7,,,,,,89,272.13,11,89,304.28,23,1,350.00,0
107,35,V,22.82,26,-2.000,1,,,,,,81,92.72,76,74,164.38,67,0,350.00,0
103,50,M,126.95,27,1.000,3,,,,,,33,109.17,32,34,102.83,43,0,350.00,0
100,28,V,25.88,41,-6.000,1,4,1,1,1,2,39,70.92,55,36,53.10,54,1,350.00,0
107,53,V,23.45,35,-11.000,1,,,,,,9,22.48,2,16,32.35,13,0,350.00,0
107,61,M,47.74,44,-20.000,3,,,,,,68,71.35,53,21,28.08,12,0,350.00,0
107,54,V,14.92,18,5.000,2,4,1,2,3,1,13,16.98,35,17,24.42,33,1,350.00,0
106,30,V,14.99,30,0.000,3,2,2,3,4,1,31,47.05,116,53,66.58,94,0,350.00,0
106,48,M,38.80,35,-11.000,1,4,3,2,5,1,20,16.63,5,21,26.92,19,0,350.00,0
106,,,80.56,19,4.000,7,6,1,1,1,3,59,97.17,4,41,61.00,6,0,350.00,0
105,39,V,37.16,25,-1.000,2,3,2,3,2,1,38,25.53,5,29,19.08,4,1,350.00,0
105,68,M,11.37,29,-5.000,2,6,1,3,1,3,5,8.92,7,3,3.78,3,0,350.00,0
91,29,M,38.83,24,3.000,2,4,2,2,5,1,169,162.22,30,189,196.33,25,1,350.00,0
105,46,M,10.39,23,1.000,2,3,3,5,4,1,35,31.70,12,45,40.45,7,1,350.00,0
59,57,V,57.10,37,-12.000,1,5,2,3,4,1,41,64.60,38,50,72.02,60,0,350.00,0
105,48,M,20.40,10,13.000,2,4,1,4,3,1,22,44.27,1,19,18.17,8,0,350.00,0
104,75,M,28.83,22,1.000,4,6,3,5,1,5,101,54.87,5,83,57.65,24,0,350.00,0
104,51,M,17.51,9,14.000,2,2,1,1,3,2,71,155.70,7,89,196.27,17,0,350.00,0
66,38,V,26.37,27,1.000,7,3,3,5,4,1,79,112.83,23,67,117.62,26,1,350.00,0
104,37,M,7.14,36,-12.000,4,,,,,,152,334.43,101,217,330.45,107,1,350.00,0
104,,,61.19,27,-3.000,3,0,0,0,0,0,75,215.78,3,48,143.60,7,0,350.00,0
103,27,V,17.99,41,-6.000,1,4,3,5,3,1,4,5.67,30,12,7.35,27,1,350.00,0
103,58,M,16.43,23,0.000,2,5,3,5,2,1,21,28.83,5,19,66.17,3,0,350.00,0
81,,,21.64,30,-4.000,5,5,1,2,1,1,29,26.77,5,53,57.68,8,0,350.00,0
75,45,M,25.32,14,10.000,5,4,2,3,4,1,98,94.10,74,112,142.77,73,0,350.00,0
40,43,V,72.41,28,-4.000,3,6,3,2,4,3,116,139.42,158,105,120.85,174,1,350.00,0
103,74,M,8.54,21,2.000,2,6,2,3,4,3,1,0.18,1,5,6.53,4,0,350.00,0
103,51,M,15.41,22,1.000,2,5,2,2,4,2,24,28.22,11,43,63.47,16,1,350.00,0
103,60,M,13.18,11,13.000,4,5,3,5,2,1,65,115.60,3,61,133.33,3,1,350.00,0
103,59,V,11.96,8,3.000,2,5,3,5,2,1,0,0.00,19,0,0.08,17,0,350.00,0
98,36,M,32.16,31,-3.000,3,2,3,4,4,1,34,70.28,16,26,35.08,8,1,350.00,0
102,44,V,32.74,16,9.000,4,3,3,2,4,1,42,114.98,11,27,69.48,8,1,350.00,0
101,42,M,39.66,9,2.000,3,3,2,4,4,1,36,65.47,16,25,25.72,3,0,350.00,0
101,44,V,38.30,28,-4.000,2,4,2,2,5,1,169,213.88,9,197,394.77,21,0,350.00,0
101,41,V,14.84,27,-3.000,2,3,2,3,1,1,55,100.58,6,102,159.45,20,0,350.00,0
102,41,V,43.05,38,-14.000,5,,,,,,27,21.18,19,49,43.15,10,0,350.00,0
90,30,M,21.46,22,1.000,2,2,2,3,4,1,28,48.32,16,35,60.42,23,0,350.00,0
93,38,M,43.47,22,1.000,2,3,2,1,4,1,77,208.97,78,85,241.27,77,1,350.00,0
91,30,M,14.65,26,3.000,2,5,1,4,3,1,18,21.02,177,35,81.70,261,0,350.00,0
97,35,M,19.07,27,-3.000,2,2,3,4,4,1,42,133.62,0,67,159.82,3,1,350.00,0
82,,,70.72,9,14.000,3,3,2,3,1,1,346,454.43,195,392,466.75,319,0,350.00,0
101,,,37.20,26,-2.000,3,5,2,2,4,1,41,74.78,4,29,68.38,3,0,350.00,0
101,36,V,45.09,25,9.000,3,2,3,2,5,1,84,130.32,33,43,75.67,25,1,350.00,0
100,53,M,22.36,33,-21.000,1,4,2,4,3,1,12,16.52,3,10,7.35,1,0,350.00,0
95,31,V,34.33,20,12.000,4,3,3,5,3,1,116,114.20,43,138,124.78,67,1,350.00,0
101,71,V,35.26,14,9.000,3,6,3,5,4,3,3,30.30,6,8,26.13,3,0,350.00,0
79,50,M,26.58,13,10.000,4,6,3,5,4,5,82,51.93,221,54,34.67,189,0,350.00,0
42,31,V,123.21,8,5.000,3,2,3,4,3,1,404,674.88,44,348,466.25,44,1,350.00,0
101,58,M,25.50,11,12.000,2,5,3,5,4,1,16,18.13,200,15,32.95,227,0,350.00,0
101,34,M,58.77,39,-15.000,2,2,1,1,4,1,23,260.75,9,22,201.58,21,0,350.00,0
96,27,V,34.51,41,-7.000,1,6,3,1,5,2,132,180.75,6,107,146.98,9,0,350.00,0
100,28,V,20.10,10,13.000,3,2,3,2,5,1,27,51.97,3,19,77.98,3,0,350.00,0
99,77,M,49.44,30,-6.000,2,6,2,3,4,3,23,45.13,33,42,50.88,28,1,350.00,0
100,,,122.41,11,13.000,2,4,1,2,3,1,370,416.02,24,308,374.08,76,0,350.00,0
100,33,V,24.02,11,12.000,2,5,3,5,1,1,6,6.33,0,7,10.27,1,0,350.00,0
100,45,M,29.19,21,2.000,2,3,2,4,4,1,76,194.92,160,53,115.10,182,0,350.00,0
49,44,M,23.54,14,10.000,2,3,2,3,3,1,29,26.33,0,36,38.68,8,0,350.00,0
59,42,M,4.19,24,-12.000,2,3,2,3,4,1,1,0.08,0,26,93.68,17,0,350.00,0
100,,,120.73,41,-6.000,4,,,,,,166,519.05,19,114,261.18,21,0,350.00,0
87,67,M,5.95,23,0.000,3,1,3,5,3,4,26,40.37,0,56,103.45,1,0,350.00,0
100,56,V,23.23,55,-31.000,1,6,3,2,4,3,8,13.77,5,4,5.20,1,0,350.00,0
100,39,M,18.86,37,-2.000,1,3,2,4,4,1,80,99.17,8,60,65.67,5,0,350.00,0
100,47,M,19.53,30,-6.000,2,4,1,4,2,1,2,0.20,13,8,6.15,9,0,350.00,0
100,52,M,9.28,9,17.000,3,4,3,5,5,1,15,14.70,0,9,7.25,1,0,350.00,0
96,55,M,23.55,14,9.000,3,4,1,5,3,1,25,53.20,15,66,181.47,2,0,350.00,0
100,49,V,21.79,20,7.000,3,4,1,4,3,1,74,67.60,7,74,78.65,10,1,350.00,0
100,33,V,14.34,30,-6.000,2,3,2,4,2,1,52,31.55,12,53,61.98,18,1,350.00,0
75,34,M,31.78,14,9.000,5,3,2,3,4,1,77,75.27,25,103,105.50,14,1,350.00,0
100,52,M,11.91,21,11.000,2,4,2,4,4,1,28,25.57,31,53,50.95,29,1,350.00,0
99,60,V,25.30,19,6.000,2,5,3,5,5,1,26,34.37,0,32,62.15,1,1,350.00,0
97,56,M,26.47,42,-18.000,3,6,2,1,3,5,38,57.82,1,49,76.15,2,0,350.00,0
97,,M,29.43,27,-3.000,3,3,3,1,5,2,108,164.75,13,107,130.55,29,1,350.00,0
95,76,M,40.81,20,3.000,3,6,3,5,3,3,20,54.65,1,21,30.80,1,1,350.00,0
99,,,61.27,28,-4.000,2,5,3,5,4,2,122,440.45,123,107,495.35,110,0,350.00,0
99,42,M,13.34,22,0.000,2,3,3,4,5,1,39,44.42,2,33,51.32,1,1,350.00,0
